id,connector_id,table_name,tablespace_name,num_rows,size_rows_bytes,is_partitioned
11175,188,postgres.kinisi.extended_connections,kinisi,26.0,8192.0,False
11176,188,postgres.kinisi.connections,kinisi,24.0,16384.0,False
11177,188,postgres.public.export,public,949215.0,93011968.0,False
11178,188,postgres.public.part,public,186308.0,33562624.0,False
11179,188,postgres.public.customer,public,136943.0,29368320.0,False
11180,188,postgres.public.metadata,public,542.0,73728.0,False
11181,188,postgres.public.logger,public,347.0,253952.0,False
11182,188,postgres.public.objects,public,82.0,8192.0,False
11183,188,postgres.public.connections,public,28.0,8192.0,False
11184,188,postgres.public.nation,public,25.0,8192.0,False
11185,188,postgres.public.extended_connections,public,7.0,8192.0,False
11186,188,postgres.public.jobs,public,6.0,65536.0,False
11187,188,postgres.public._exec,public,0.0,0.0,False
11188,188,postgres.public.lineitem_partitioned,public,0.0,0.0,True
11189,188,postgres.public.shipdate_1992,public,0.0,0.0,False
11190,188,postgres.public.testitem,public,0.0,0.0,False
11191,188,postgres.public.shipdate_1994,public,0.0,0.0,False
11192,188,postgres.public.shipdate_1995,public,0.0,0.0,False
11193,188,postgres.public.shipdate_1996,public,0.0,0.0,False
11194,188,postgres.public.shipdate_1997,public,0.0,0.0,False
11195,188,postgres.public.shipdate_1998,public,0.0,0.0,False
11196,188,postgres.public.performance_logger,public,0.0,0.0,False
11197,188,postgres.public.shipdate_1993,public,0.0,0.0,False
11198,188,postgres.public.national,public,0.0,8192.0,False
11199,188,postgres.public.region,public,0.0,8192.0,False
11200,188,test_db.test_schema.test_table,test_schema,0.0,0.0,False
11255,205,postgres.public.shipdate_1996,public,0.0,0.0,False
11256,205,postgres.public.shipdate_1997,public,0.0,0.0,False
9996,177,ORDERS,migration_db,0.0,0.0,False
11257,205,postgres.public.shipdate_1998,public,0.0,0.0,False
11258,205,postgres.public.performance_logger,public,0.0,0.0,False
11259,205,postgres.public.shipdate_1993,public,0.0,0.0,False
11260,205,postgres.public.national,public,0.0,8192.0,False
11261,205,postgres.public.region,public,0.0,8192.0,False
11262,205,test_db.test_schema.test_table,test_schema,0.0,0.0,False
10008,179,visitors,dontdelete,0.0,0.0,False
10009,179,retailers,dontdelete,0.0,0.0,False
10010,179,ajtest1,seematest,2.0,200.0,False
10760,183,logger,kinisi,821.0,557056.0,False
10761,183,metadata,kinisi,722.0,81920.0,False
10762,183,objects,kinisi,140.0,16384.0,False
10763,183,jobs,kinisi,34.0,65536.0,False
10764,183,connections,kinisi,24.0,8192.0,False
10765,183,watermark,kinisi,20.0,8192.0,False
10766,183,extended_connections,kinisi,12.0,8192.0,False
10767,183,export,public,949215.0,93011968.0,False
10768,183,part,public,186308.0,33562624.0,False
10769,183,customer,public,136943.0,29368320.0,False
10770,183,metadata,public,542.0,73728.0,False
10771,183,logger,public,347.0,253952.0,False
10772,183,objects,public,82.0,8192.0,False
10773,183,connections,public,28.0,8192.0,False
10774,183,nation,public,25.0,8192.0,False
10775,183,extended_connections,public,7.0,8192.0,False
10776,183,jobs,public,6.0,65536.0,False
11035,187,TablesDB.test_table,test_table,0.0,0.0,False
11047,204,migration_db.connections,migration_db,62.0,620.0,False
11048,204,migration_db.jobs,migration_db,62.0,620.0,False
11068,176,ORCLCDB.SYSTEM.SUPPLIER,SYSTEM,4010000.0,401000000.0,False
11069,176,ORCLCDB.SYSTEM.ORDERS,SYSTEM,2000000.0,200000000.0,False
11070,176,ORCLCDB.SYSTEM.SUPPLIER_SUBSET,SYSTEM,1000.0,100000.0,False
11071,176,ORCLCDB.SYSTEM.ORDERS_SUBSET,SYSTEM,1000.0,100000.0,False
11125,189,postgres.kinisi.logger,kinisi,934.0,557056.0,False
11126,189,postgres.kinisi.metadata,kinisi,817.0,81920.0,False
11127,189,postgres.kinisi.objects,kinisi,163.0,16384.0,False
11128,189,postgres.kinisi.jobs,kinisi,66.0,131072.0,False
11129,189,postgres.kinisi.watermark,kinisi,27.0,8192.0,False
11130,189,postgres.kinisi.extended_connections,kinisi,26.0,8192.0,False
11131,189,postgres.kinisi.connections,kinisi,24.0,16384.0,False
11132,189,postgres.public.export,public,949215.0,93011968.0,False
11133,189,postgres.public.part,public,186308.0,33562624.0,False
11134,189,postgres.public.customer,public,136943.0,29368320.0,False
11135,189,postgres.public.metadata,public,542.0,73728.0,False
11136,189,postgres.public.logger,public,347.0,253952.0,False
11137,189,postgres.public.objects,public,82.0,8192.0,False
10361,190,test_mongo_collection,test_mongo_db,0.0,0.0,False
10866,180,postgres.public.test_migration,public,0.0,8192.0,False
11036,178,migration_db.connections,migration_db,62.0,620.0,False
11037,178,migration_db.jobs,migration_db,62.0,620.0,False
11138,189,postgres.public.connections,public,28.0,8192.0,False
11139,189,postgres.public.nation,public,25.0,8192.0,False
11140,189,postgres.public.extended_connections,public,7.0,8192.0,False
11141,189,postgres.public.jobs,public,6.0,65536.0,False
11142,189,postgres.public._exec,public,0.0,0.0,False
11143,189,postgres.public.lineitem_partitioned,public,0.0,0.0,True
